line	text
3	أيه اللى قومك من على السرير.
4	عادي أنا بقيت كويسه قولت أخد شاور ينعش جسمي، كمان قولت طنط محاسن إنى هحضر فرح زاهر...
5	هتحضري فرح زاهر إزاي وإنت تعبانه.
6	أنا بقيت بخير، وحضوري للفرح مش هيأثر على صحتي بالعكس مناظر الفرح بتشرح القلب وأنا محتاجه أحس شويه بفرح، عروسه وعريس جنب بعض في الكوشه، أصل فرحي محسيتش بيه معرفتش عريسي مين غير في أوضة النوم.
7	تمام، سهل تفضلى هنا وتشوفى دخلة العرسان لدار عمي من فوق سطح الدار.
8	بس أنا لازم أحضر الفرح، ناسى إن زاهر يبقى ابن عمك، يعني يعتبر سلفي ومراته هتبقى سلفتي وهي بنت لطيفه جدا وأنا حبيتها من يوم كتب الكتاب، يعني حضورى واجب.
9	ولا يمكن مش حابب أنى أحضر عشان مبيقاش في مقارنه بيني وبين حد تانى.
10	قصدك تتقارني بمين.
11	أكيد طبعا مش هتقارن بالعروسه، يمكن في عروسه تانيه ويحصل مقارنه بيني وبينها بس متأكده أن أنا اللى هكسب.
12	سلوان بلاش غرور، وقولي قصدك مين من الآخر بلاش مراوغه.
13	أنا آخر واحده تراوغ أنا صريحه وبس مش هنكر يمكن عندي شوية غرور صغننين قد كده.
14	واضح إن تعبك إمبارح لسه مآثر على عقلك، والدليل الجرآه اللى مش بس بتتكلمي بيها كمان وقوفك قدامي بالفوطه نص عريانه، راح فين خجل سلوان اللى كانت بتنام جانبي على آخر طرف السرير بنص هدوم الدولاب، ده غير إيديك اللى محاوطه رقابتي.
16	راحت فين الجرآه يا خد الجميل.
17	سيب إيدي، أنا هروح الحمام ألبس البيجامه.
18	ست سلوان إنت نمت.
19	قومي إدخلى للحمام ألبسى هدومك وأنا هفتح
22	جاويد بيه إنت إهنه، أنى كنت جايبه الوكل ل ست سلوان، لو كنت أعرف إنك إهنه كنت عملت حسابك وياها.
23	لاء، شكرا يا توحيده أنا مش جعان.
24	هي الست سلوان فين.
25	في الحمام.
26	كويس إنك إهنه يا جاويد بيه، عشان بالتوكيد الست سلوان هتسمع حديتك وتاكل الصبح الست محاسن بالعافيه ضغطت عليها تاكل، ماكلتش قد إكده.
27	تمام.
28	أنا هنزل وإن الست سلوان إحتاجت حاجه خليها تنادم عليا.
30	توحيده جابتلك الأكل وقالت إنك الصبح مفطرتيش كويس، مش هتتغدي؟
31	لاء مش جعانه، أنا هنام شويه.
32	كلي، وبعدها نامي، براحتك.
33	قولت مش جعانه، أنا هنام ولما أصحى أبقى أكل.
34	بلاش غضب الأطفال ده يا سلوان، إنت لازم تاكلى حتى عشان الجنين اللى في بطنك له حق عليك، وبعدين مش من شويه كنت بتقولى بقيت كويسه وهتروحي الفرح، ولا هي هورمونات الحمل هتبدأ تشتغل وكل شويه هتبقي بمزاج.
35	يمكن فعلا الهورمونات، تسمح بقى تسيب إيدي، أنا مش عاوزه أكل دلوقتي.
36	إقعدي يا سلوان كلى وبلاش عند عشان صحتك إنت والجنين.
37	هتفضلي تبصي للأكل كده، يمكن عاوزنى أكلك بإيدي، عالعموم معنديش مانع، أنا يهمني صحتك برضوا.
38	ويهمك صحتي في أيه.
39	مش حامل في إبني أو بنت ويهمني صحتهم.
40	يعني اللى يهمك إبنك أو بنتك اللى في بطني لكن أنا مفرقش معاك.
41	لاء يهمني صحتكم إنتم الإتنين.
42	مش يمكن إتنين غيري.
43	قصدك إنك حامل في توأم، طب ده سبب أدعى إنك تتغذي كويس.
44	أنا بقول مثلا مش تأكيد، وبعدين مش المفروض إمبارح كتبت كتابك على مسك المفروض تبقى معاه عشان ترتبوا لحياتكم المستقبليه.
45	للآسف بعد اللى حصل إمبارح ومرضك قولت آجل الموضوع ده كم يوم، أنا مش مستعجل.
46	وأنا كمان مش مغصوبه أتحمل جوازك عليا، وهرجع أعيش مع بابا بعيد عن هنا.
47	سلوان بلاش تتسرعي وكفايه اللى كان هيحصل إمبارح وربنا ستر.
48	قولتلك قبل كده معرفش أنا إزاي إيدي ضغطت عالزيناد.
53	أيوا يا بابا أنا هنا في الدار، تمام عشر دقايق وأنزلك أوضة المكتب.
54	سلوان بلاش تخلي الغضب يسيطر عليك، وبلاش عناد، وكملي أكلك عشان صحتك قبل أى شئ تاني هنزل أشوف الموضوع اللى بابا طلبني عشانه.
59	مبروك يا زاهر بيه، من شويه أهل العروسه جم ومعاهم شنطة هدومها ورتبوها في الدولاب بتاع الجناح الجديد.
60	مبروك يا عريس، أيه هتشرفنا الليله ولا محتاج لمساعده.
61	روحي شوفى شغلك.
