3	"على فكرة انا مش لابساه عشانك.
"
5	"ومين قال انك لو حابة تبهري ماهر بدران هتلبسي فستان بسيط زي ده؟
"
7	"الكون مبيدورش حواليك ياجلالة الملك، وأكيد مش كل هم البنات في مملكتك انهم يقدروا ينولوا اعجابك، أنا كل همي في الدنيا هو صلاح. صلاح وبس.
"
13	"استنى هنا.
"
15	"هو أنا مش قلتلك ان مفيش عندنا ستات بتشتغل.
"
22	"مادام مصممة يبقى هتدي درس خصوصي لبنت واحد صاحبي، هو كان قاللي انه محتاج لمدرسة لغة عربية تأسس بنته وان مفيش مدرسة لحد دلوقتي قادرة توصلها، بتطفشهم كلهم، لو حابة تجربي تمام. هعتبرها خدمة بقدمهاله لإني محتاجه في صفقة كبيرة وهيكون حسابك معايا انا، يعني انا اللي هديكي مرتبك اللي أحددهولك كل شهر. ها. إيه رأيك؟
"
27	"لأول وآخر مرة هسمحلك تكلميني باللهجة دي، هتتحديني بعد كدة هتخسري، أنا مبهددش ولا ده أسلوبي. أنا بنفذ علطول لكن لإنك غريبة عننا هعتبره إنذار ليكي عشان لو اتعاملت بعد كدة متلوميش الا نفسك.
"
30	"كفاية ياماما. أنا شبعت.
"
35	"انتِ عاملة ايه دلوقتي ياتقي؟ الحرارة خفت؟
"
38	"قومي هاتي عروستك من الأوضة عشان تفطر معاكي ياقلبي.
"
40	"الدكتور قال ان مرضها ملوش أي سبب عضوي وغالباً سببه نفسي وإنها محتاجة تغير جو.
"
42	"بسيطة خدي أجازة بكرة ونروح نفسحها في أي حتة.
"
53	"انتوا روحتوا لمين ياتقي. للدكتور عيد ولا الدكتور حسام؟
"
56	"وبعدين ياتقي؟
"
58	"عمه محمد جه وركبنا معاه العربية وزعق لماما برضه عشان نزلت لوحدها في الشارع في وقت متأخر زي ده، ماما عيطت فسكت وودانا لدكتور صاحبه اسمه الدكتور فتحي وبعدين وصلنا البيت.
"
63	"هو بابا ماله ياتقي؟
"
70	"وصلنا؟
"
72	"ده جواهرجي عيلتنا لو حابة تغيريه مفيش مشكلة.
"
74	"مش هتفرق، قلتلك مكنش ليه لزوم بس انت صممت عشان تُحبك الرواية. وانا وافقت على شرط أدفع الفاتورة.
"
76	"من فضلك ولغاية ماتخلص التمثيلية عامليني على اني راجل شرقي مستحيل يقبل تدفعي فاتورة حاجة جايبهالك، وان كان ولابد فاستني لحد ماتخلص حكايتنا وهكتبلك فاتورة بتمن كل حاجة هجيبهالك وساعتها ياستي ادفعيهالي ومش هقولك لأ.
"
79	"اتفضلي انزلي يابرنسيسة.
"
81	"تليفونك.
"
83	"أيوة ياماما. وصلنا. حاضر ياحبيبتي. سلام.
"
85	"بتوصيكي علية وبتقولك نخرج نتفسح بعد مانجيب الشبكة قبل مااوصلك البيت مش كدة؟
"
87	"انت عرفت ازاي؟
"
89	"حماتي بقى وحافظها.
"
91	"احنا دلوقتي لوحدنا فمفيش داعي تعيش في الدور ومفيش جمهور يسقفلك.
"
93	"التكرار بيعلم الإتقان يابرنسيسة.
"
98	"الله على الكلام الموزون ياسي رءوف، إلا قولي ياحاج معناته إيه الكلام الحلو ده؟
"
101	"والله راحت عليك يارءوف، قوللي بقى هترد تقول ايه بس دلوقتي؟ بحبك ياصفية وبتغزل فيكي والله هتقول عليك مجنون.
"
103	"ده بيت شعر كدة ألفته لما شفت الدكتور عزت وهو واقف مع الدكتورة حنان، كانت سرحانة ومش واخدة بالها منه فحسيته غيران ونفسه يطمن يعني ان كان في بالها ولا مش واخدة بالها أساساً.
"
107	"تعرف ياسي رءوف اهو انا عندي يقين سيدنا يعقوب ده، وعارفة ان ابني هيرجعلي مهما فرقتنا الظروف وبعدته عني المدعوءة اللي اسمها المخدرات دي.
"
110	"بإذن الله ابنك هيرجعلك ياحاجة صفية وهيبوس رجلك عشان تسامحيه ووقتها بقلبك الطيب هتسامحيه وهترجعي معاه وتسبيني في الدار الكبيرة دي لوحدي بعد مااتعودت عليكي.
"
118	"متكسفنيش بقى يارءوف بيه.
"
128	"ها إيه رأيك. تحبي نروح فين بعد كدة؟
"
2	"غيرت مهنتك من مدرس لشيف ياابن خالتي.
"
4	"أعمل إيه بقى؟ وحداني ياسعاد وخالتك تعبانة ولازم أعملها شوربة.
"
6	"صحيح هي فين وأخبارها إيه دلوقت؟
"
8	"الحمد لله أحسن، لسة نايمة من شوية. أخدت أجازة من المدرسة والدروس عشانها، هعملها الشوربة وأصحيها تشربيهالها، مش راضية تاكل أبدا ولما هتشوفك من فرحتها أكيد هتاكل وتشرب.
"
10	"طب حاسب كدة. انا اللي هعملها الشوربة بإيدي.
"
12	"على فكرة بقى خالتك كدة هتتأمر وهتطلب تاكل من إيدك كل يوم.
"
14	"ياريت كان بإيدي أجيلها كل يوم وأطبخلها بإيدي. بس للأسف مش هقدر.
"
17	"جيت ماشية هاجي إزاي يعني؟
"
19	"يعني هكون جيت إزاي يامحمد؟ مقلتش لأشرف طبعا ماانت عارف انه مانعني آجي هنا زي بابا تمام، مش عارفة ليه مبيحبوش خالتي وليه يعني يمنعوني عنها وهم عارفين بحبها قد إيه ومستحيل أسمع إنها تعبانة ومجيش أزورها؟
"
23	"اممم. بتقولي حاجة؟
"
25	"خلصت الشوربة.
"
27	"يبقى تعالي بسرعة نصحيها، مش عايزك تتأخري وتحصل مشكلة بينك وبين أشرف بسببنا.
"
29	"كل المشاكل تهون قصاد اني آجي وأشوفكم وأقعد معاكم ياابن خالتي، طول عمري برتاح بس هنا. ، وطول عمر البيت ده هو بيتي الحقيقي يامحمد.
"
33	"مينفعش، مش هآمن حد عليها غيرك.
"
35	"وأنا مالي ومالها بس هي كانت من بقية أهلي.
"
38	"انا آسف ياجدي مكنش قصدي والله بس انت عارف اللي في قلبي.
"
41	"أنا عارف إنك متنيل بتحب ذات الكتاب الأحمر ومش هتتجوز غيرها.
"
43	"ياطاهر انا مبقولكش اتجوزها، انت بس هتخطبها لحد ما يفقدوا الأمل في انهم يجوزوها لابن عمها وساعتها كل واحد فيكم هيروح لحاله.
"
50	"بالذمة دي ألفاظ كاتب! طب لعلمك بقى البنت حلوة قوي ودكتورة قد الدنيا. يعني ألف واحد يتمناها.
"
52	"أومال ليه قابلة بالوضع ده؟
"
56	"زيك تمام، بس هي لسة مقابلتش اللي يغير رأيها زي حضرتك ماقابلت ذات الكتاب الأحمر.
"
58	"مش كل شوية هتتريأ ياجدي، أنا مش عارف انت مش طايقها ليه وانت متعرفهاش أساساً؟
"
63	"ولو اني معترض ومش مرتاح للموضوع ده كله لكن عشان خاطرك ياجدي أنا هقبل بشرط.
"
65	"أقعد الأول وأتكلم معاها.
"
72	"متقلقش ياجدي مبقتش أعمل حركات. انا خلاص وقعت في الحب ومبقتش أشوف قصادي غير صورة حبيبتي وبس.
"
75	"بقولك إيه ياجدي ما تنسي آيات دي دلوقتي وقولي مش ناوي تيجي تعيش معايا وتسيبك من دار المسنين دي؟
"
81	"صدقني انا بجد مبسوط ومرتاح في المكان ده، ولو في يوم حسيت اني متضايق هتلاقيني جاي لوحدي لحد عندك.
"
84	"وعد ياابن حسين.
"
87	"نعم. أي خدمة؟
"
89	"آنسة مروة نصار؟
"
91	"مين حضرتك؟ وعايز إيه؟
"
94	"اما أنا فأبقى عمه. ماهر سعيد بدران.
"
98	"مش هقدر أسمحلك بالدخول. زي ماانت شايف انا عايشة لوحدي ووجودك جوة بيتي في وقت زي ده ممكن يضر بسمعتي.
"
100	"بيتهيألي الكلام اللي جاي أقولهولك مش هينفع اقوله على السلم، عموماً لو مش عايزة تدخليني.
"
102	"عادي مش هتفرق كتير، ممكن ببساطة مكتب المحامي بتاعي يستدعيكي ويبلغك بيه. عن إذنك.
"
104	"أستاذ ماهر.
"
106	"أنا.
"
108	"ايوة انت إتفضل.
"
110	"قول اللي عندك بسرعة من فضلك لإني مش فاضية ولازم أحضر درس بكرة قبل ماصلاح يقوم من النوم.
"
112	"بتشتغلي مدرسة؟
"
114	"أستاذ ماهر أدخل في الموضوع علطول أكيد مش جاي من اسكندرية مخصوص تسألني بشتغل إيه.
"
117	"جاي تشوفه؟
"
119	"لآ. جاي آخده.
"
121	"تاخده فين؟
"
123	"هاخده إسكندرية لجدته كريمة هانم الرملي.
"
5	"لأ خلاص من غيز عُلق ياأبلة. انا فعلا كنت بعيط ومش طايقة اقعد في البيت ثانية واحدة، بس الوضع اتغير دلوقت.
"
9	"الأستاذ ماهر اعتذرلك بنفسه. واعتذرلك بقى عن ايه ياست مروة؟
"
12	"مين اللي مش هيتخلي عنك. ماهر؟
"
21	"لكن إيه؟
"
23	"قلبي مش مريحني، فاكرة لما قلتلك ان احنا الاتنين معرفناش يعني ايه دقة قلب تهز الكيان وتصحى المشاعر. معرفناش يعني ايه القلب يكون متلخبط ومش على بعضه ودقاته من سرعتها توجع لما يكون في حضرة شخص معين. أنا لقيت الشخص ده. وحسيت بكل الأحاسيس دي.
"
28	"انا زيك مكنتش مصدقة لغاية النهاردة الصبح. كنت فاكرة لما بيدق قلبي بسرعة وأحسه مليان بالمشاعر في حضرته ان السبب خوفي منه وكرهي ليه. بس كل ماكنت بعرفه كنت بحس ان كرهي ليه ملوش مبرر وان جواه شخص تاني بيشدني لكن فضلت مشاعري دي غريبة وملهاش تفسير، لحد ماجالي واعتذرلي وقاللي كلمتين حلوين وكأني كنت مستنية ايده تطبطب على قلبي وتقولي انا زي ماانتِ شايفاني. أنا حد كويس أستاهل قلبك اللي حافظتي عليه طول عمرك.
"
