line	text
1	"صرخت ورد بإسم إبنتها التي أعلنت عن إنهيارها التام وكأن جسدها لم يعد لدية القدرة على التحمل بعد، فقام برفع رايتة البيضاء وأستسلم لتلك الغيمة السوداء التي سحبتها بداخلها، وكأنها بفقدانها للوعي الكامل قد أعلنت إنسحابها من تلك المعركة الغير متكافئة.
"
2	"هرولت ورد خلف ذلك الذي حمل حبيبتة بقلب يرتجف رعب على من ملكت الفؤاد وأصبحت له المعني الحقيقي للحياة، كان يصرخ بكل صوته ويأمرهم بإحضار طبيب ليفحصها، أسرع لخارج الحجرة سريع وأتجة بها إلى غرفة جانبية متجهزة ومخصصة لإستقبال أية زائرين تضطرهم الظروف للمبيت داخل سرايا النعماني.
"
3	"إنتفضت مريم من جلستها وفارس الذي يجاورها الجلوس بالأريكة وباقي أفراد العائلة الذين كانوا ينتظرون نتائج تلك الجلسة الساخنة، بقلوب ترتجف رعب على ثنائي العشق، عدا تلك الحاقدة التي وصلت سعادتها عنان السماء بعدما إستمعت إلى خبر زواج قاسم على غريمتها التي لم ولن تبغض وتمقت أحدا في هذا العالم مثلما بغضتها، إنها ليلي لا غير.
"
4	"أسرع الجميع يهرولون خلف قاسم عدا الجد عثمان الذي ضل جالس بمقعدة، ساندا وجهة على كفاه المتكئة على عصاة الأبنوسية، ناظرا أسفل قدماه بخزي وقهر وأل. م م. ميت، غصة مرة وقفت بمنتصف حلقة جعلتة يشعر بمرارة وبشاعة ما إقترفتة يداة بحق أحفادة الذي جني عليهم بإجبارة الأعمي، وإصرارة على الدخول بطريق لم يردة أيا منهم بل وإرغامهم بالمضي قدم وإستكمالة حتى النهاية، برغم ما يشعر به جميعهم من مرارة وألم وضياع داخل تلك الزيجات.
"
5	"برفق شديد، وضع قاسم صفا فوق التخت وتحدث بنبرة مرتجفة ونظرة عين هلعة: دكتور، حد يجيب دكتور بسرعة.
"
6	"إنتفض يزن بوقفتة وبسرعة البرق كان يقف أمام سيارتة التي مازالت مصطفة بمدخل حديقة السرايا عندما أحضر بها صفا من محطة القطار، وضع كف يدة ليفتح باب سيارتة ليترجلها، توقف مكانة حينما إستمع لصوت تلك الغاضبة التي صاحت من خلفة وهي تهتف متسائلة بتعجب: رايح فين يا يزن، لتكون سمعت كلام الممحون اللي إسمية قاسم ورايح تچيب دكتور لچلوعة أبوها دي كمان؟
"
7	"وأكملت بنبرة مقللة لوضع صفا: متخافش على بت ورد جوي إكدة، دلوك چدتك رسمية هتكسر لها بصلة وتدعك لها بيها مناخيرها وتجوم كيف الجردة.
"
8	"وأكملت وهي تتمشي بغنچ وتتحرك إليه بإنوثة إكتسبتها عن جديد وفق لما خططته لها والدتها فاقدة العزة والكرامة، في محاولة منها لإستعادتة إليها من جديد: تعال نطلعوا فوج على شجتنا لجل ما نتحدت ويا بعض ونتصافوا، وصدجني يا حبيبي، هعيشك ليلة كيف الملوك، عكون لك چاريتك المطيعة اللي عتوريك الهنا بألوانة.
"
9	"شملها بنظرة إشمئزاز وأحتقار مهين لكرامتها التي وضعتها جانب لحين الإنتهاء من الخطة التي وضعتها لها فايقة بجانب إنتوائهما الذهاب إلى المشعوذ التي تعتقد أنه بإستطاعتة إرجاع يزن لأحضانها من جديد
"
10	"وهتف بنبرة مميتة لشخصها: تعرفي يا ليلي، أني كل يوم بجلد حالي وبلومها على إنها عطتك فرصة وكانت دايما توصيني بالصبر عليك، إنت إية، شيطان معندوش جلب، واكمل بسؤال ساخر: إلا جوليلي يا ليلي؟
"
